distance_km,weather_severity,traffic_index,weather_traffic_interaction,delay_hours
624.3561663863075,7,1,7,4.850160344031529
1431.0000289738825,4,10,40,14.04106217878829
1124.791518535967,2,5,10,6.438541786336005
938.1218778758513,5,6,30,9.255765559970023
318.4260966194111,3,4,12,3.446084765879376
318.3923284706837,9,7,63,15.0264886303275
181.31705703547925,6,3,18,7.013609537259093
1312.6466040849093,1,7,7,3.998325958558749
941.5610164404924,3,1,3,1.383827924578402
1091.3016089144637,4,7,28,9.471272111746938
128.81829201412341,9,1,9,2.0165117253608384
1457.873793026792,6,1,6,3.8906821226365134
1265.4196971205904,4,2,8,6.945032848715626
397.2747549495866,1,2,2,1.5371559936795767
354.5549540899409,8,4,32,8.240263407975212
356.76631379480733,2,1,2,2.2234686476465426
525.9391401433528,8,4,32,10.024364626873467
834.6590042851329,6,2,12,7.816222946514875
704.7230260989621,8,4,32,7.540131373436007
507.72079627725867,6,4,24,6.625785084139841
956.5940526113312,5,9,45,12.867670363793385
295.2914049128586,5,9,45,13.027287551990362
509.0025079493054,10,1,10,10.255847866979922
612.9065806111684,10,5,50,14.60538477718213
738.4979779038503,8,7,56,14.678180182519004
1199.246345950219,7,4,28,8.47856984779379
379.5432950217036,8,5,40,9.151453348899281
819.9282137790563,8,2,16,8.594574334872298
929.3803964068594,7,3,21,7.116594406240199
165.03057780799682,2,7,14,5.298936106243646
950.5627926620137,9,10,90,24.587029200095724
338.73377316220814,7,7,49,10.355533615526241
191.07223017939134,6,4,24,7.787870124523652
1428.4397521546666,9,1,9,5.951421049262889
1451.884846304383,1,1,1,6.208176049486632
1231.7562873630457,2,4,8,4.455645195988464
526.459276842719,1,4,4,4.556294312477516
236.74095960893743,10,6,60,12.161216865990083
1057.9262371170198,3,7,21,11.295769696300278
716.2134912354418,5,9,45,14.662012762532983
270.8535287826903,1,9,9,4.957417742390612
793.2476741557782,4,10,40,13.375969998551305
148.14392956130575,8,5,40,12.132277958269885
1373.0485629102948,6,10,60,17.775345546956984
462.2919742400237,1,3,3,2.291763149586836
1027.5311980955748,1,3,3,3.85793219893944
536.3955065251753,3,6,18,7.237828400384212
828.0952296489352,10,1,10,6.640704185250328
865.3943910805915,8,7,56,15.982567804474177
358.79623773573786,8,3,24,6.385723493316117
1457.418478870382,3,5,15,7.092532485086177
1185.1859527055603,7,7,49,14.035123194866369
